CAU	AUScore	AUScale	CauPopn
594400	945	3	4044
594500	1126	10	909
594600	1094	9	4935
594700	1134	10	2484
594800	1020	7	4800
594900	944	3	2724
595000	1040	8	3252
595100	928	2	2724
595200	904	1	1851
595300	1026	7	4713
595400	982	5	3201
595500	952	4	2148
595600	1023	7	4203
595700	1035	8	3882
595800	1057	9	2343
595900	947	4	3672
596000	881	1	3582
596100	903	1	3096
596200	962	4	3204
596400	991	6	2922
596501	898	1	597
596502	954	4	873
596600	987	6	75
596800	996	6	600
596900	1008	7	1068
597000	0	0	0
597100	961	4	687
597200	906	1	1605
597300	931	3	1104
597400	971	5	630
597501	926	2	4530
597502	941	3	1017
597503	944	3	306
597600	959	4	975
597711	902	1	972
597712	932	3	315
597720	947	3	2265
597730	946	3	3297
597741	930	3	1734
597742	1009	7	747
597810	936	3	4893
597820	956	4	1101
597830	1032	8	1587
597840	1009	7	1608
597850	1007	7	2478
597860	977	5	2445
598000	991	6	261
598201	934	3	480
598202	897	1	345
598311	953	4	81
598312	976	5	3615
598313	938	3	2856
598314	1042	8	495
598320	963	4	1197
598500	999	6	2112
598600	1003	6	3975
598700	984	6	1014
598800	1023	7	1332
598900	1045	8	3675
599000	979	5	1065
599100	926	2	3417
599200	967	5	1749
599300	897	1	1842
599400	979	5	3051
599500	1047	8	2754
599600	1023	7	2454
599700	1047	8	2679
599800	1054	8	1701
599900	1068	9	84
600100	1090	9	1008
600200	967	5	750
600311	967	5	1446
600312	949	4	195
600320	937	3	180
600410	967	5	4317
600420	987	6	198
600500	1046	8	3099
600600	948	4	681
600811	919	2	210
600812	925	2	435
600813	929	3	210
600822	996	6	99
600824	971	5	459
600825	929	3	654
600826	968	5	3777
600827	942	3	378
600828	977	5	408
600830	934	3	405
600840	1040	8	315
601010	1016	7	3249
601020	1020	7	2736
601030	1008	7	2826
601040	974	5	3081
601200	1034	8	873
601301	975	5	723
601302	961	4	87
601400	987	6	999
601500	1031	8	228
601602	1008	7	495
601603	1042	8	1227
601604	1050	8	393
601605	1012	7	369
601700	914	2	99
601900	904	1	2088
602000	1006	7	1419
602100	943	3	603
602200	938	3	585
602300	1020	7	186
602411	901	1	255
602412	924	2	897
602421	926	2	246
602422	950	4	270
602500	925	2	2040
602600	941	3	480
602800	1118	10	60
602900	1084	9	1602
603000	1034	8	2418
603100	995	6	1881
603210	918	2	1248
603220	1017	7	801
603300	993	6	4113
603400	1035	8	2472
603500	962	4	756
603601	1003	6	2160
603602	1002	6	3702
603710	884	1	2010
603720	984	5	762
603810	897	1	534
603820	885	1	1038
603910	1004	6	3246
603920	997	6	2301
603930	1089	9	3840
604010	926	2	1869
604020	921	2	2424
604110	983	5	3513
604120	926	2	1854
604130	930	3	1893
604210	1049	8	5139
604220	1044	8	1575
604300	1118	10	12
604410	1136	10	2466
604420	1070	9	969
604500	1016	7	4266
604611	957	4	2865
604612	919	2	2544
604620	899	1	3888
604710	908	1	684
604720	1005	6	1407
604810	947	3	873
604820	915	2	1401
604830	967	5	1125
604901	1049	8	477
604902	929	2	147
605100	969	5	1320
605200	1065	9	1560
605400	969	5	1869
605500	1069	9	1707
605600	1014	7	2439
605800	1004	6	2544
605910	966	5	1740
605920	1023	7	2238
606100	1027	7	3249
606210	948	4	2553
606220	897	1	1089
606300	972	5	2367
606500	1003	6	141
606600	918	2	309
606700	955	4	2598
606800	1037	8	2067
606900	1042	8	879
607000	1014	7	381
607100	1034	8	210
607200	1030	8	417
607300	937	3	3642
607400	980	5	3987
607501	945	3	1188
607502	934	3	1947
607600	966	5	786
607700	1035	8	531
607800	988	6	672
607900	981	5	897
608000	956	4	1092
608100	1048	8	123
608301	986	6	945
608302	941	3	2733
608303	981	5	768
608500	947	3	4512
608600	988	6	2661
608700	943	3	774
608800	928	2	1479
609011	928	2	93
609012	960	4	276
609022	886	1	513
609023	926	2	933
609024	895	1	255
609025	922	2	888
609200	978	5	873
609301	986	6	1455
609302	940	3	1401
609400	997	6	144
609500	970	5	375
609600	1002	6	501
609700	981	5	570
609800	1026	7	636
609911	916	2	267
609912	927	2	1263
609913	903	1	162
609914	950	4	588
609921	890	1	231
609922	891	1	2196
610010	909	2	498
610020	937	3	1770
610031	932	3	501
610032	919	2	1647
610033	917	2	876
610040	919	2	2310
610051	921	2	2058
610052	948	4	459
610061	907	1	1659
610062	892	1	423
610071	969	5	840
610072	924	2	1752
610073	935	3	303
610080	937	3	1887
610090	936	3	681
610210	973	5	1842
610220	1044	8	1659
610230	989	6	870
610240	972	5	3018
610250	1011	7	966
610400	1045	8	2034
610500	976	5	2079
610601	982	5	3720
610602	941	3	1641
610700	890	1	3978
610800	941	3	4254
610900	980	5	3354
611001	1058	9	2514
611002	1022	7	2490
611100	1000	6	3021
611210	1057	8	636
611220	1217	10	2010
611300	1313	10	249
611400	1084	9	2688
611500	994	6	3273
611601	1061	9	3591
611602	1068	9	2661
611700	1091	9	2256
611800	1048	8	4284
611900	915	2	189
612100	1069	9	2391
612200	1045	8	429
612300	1103	10	516
612400	959	4	1479
612500	1060	9	735
612600	1013	7	831
612711	926	2	1212
612712	953	4	252
612713	947	4	270
612720	937	3	951
612730	982	5	1590
612740	933	3	1902
612800	1083	9	1827
612900	909	2	6
613000	0	0	0
614000	0	0	0
614501	0	0	0
614502	0	0	0
614601	0	0	0
614602	0	0	0
614700	0	0	0
614800	0	0	0
615100	0	0	0
615301	0	0	0
615302	0	0	0
615800	0	0	0
615900	0	0	0
616001	0	0	0
616002	0	0	0
616100	0	0	0
616200	0	0	0
616300	0	0	0
616400	0	0	0
617000	0	0	0
617101	0	0	0
617102	0	0	0
617200	0	0	0
617400	0	0	0
617500	0	0	0
617601	0	0	0
617602	0	0	0
617700	0	0	0
617800	0	0	0
617900	985	6	6
618300	0	0	0
618400	0	0	0
618500	0	0	0
619000	0	0	0
619101	0	0	0
619102	0	0	0
619201	0	0	0
619202	0	0	0
619301	0	0	0
619302	0	0	0
619303	0	0	0
619400	0	0	0
619500	0	0	0
619700	0	0	0
619900	0	0	0
620000	0	0	0
620400	0	0	0
620901	0	0	0
620902	0	0	0
621401	0	0	0
621402	0	0	0
621500	0	0	0
622000	0	0	0
622100	0	0	0
622201	0	0	0
622202	0	0	0
622700	0	0	0
623801	0	0	0
623802	0	0	0
623900	0	0	0
624100	0	0	0
624600	0	0	0
625101	0	0	0
625102	0	0	0
625103	0	0	0
625200	0	0	0
625300	0	0	0
625800	1086	9	9
625901	0	0	0
625902	0	0	0
626000	0	0	0
626100	0	0	0
626500	0	0	0
626600	0	0	0
626700	0	0	0
626801	0	0	0
626802	0	0	0
626900	0	0	0
627000	0	0	0
627200	0	0	0
