CAU_num_2006	CAU_name_2006	CAU_average_NZDep2006	CAU_average_NZDep_score_2006
512402	Wakeling	5	968
512500	Mcleod	7	1004
512600	Konini	2	922
512700	Waima	1	903
512801	Laingholm	1	911
512802	Armour Bay	2	914
512901	Parrs Park	8	1050
512902	Otimai	1	893
513011	Henderson West	2	928
513012	Palm Heights	7	1008
513013	McLaren Park	9	1078
513020	Opanuku	2	925
513100	Swanson	4	946
513211	Urlich	9	1089
513212	Starling Park	9	1071
513213	Ranui Domain	10	1114
513214	Ranui South	7	1012
513220	Sturges North	5	960
513301	Kingdale	9	1062
513302	Fairdene	8	1048
513410	Whenuapai West	4	946
513420	Herald	1	907
513430	Hobsonville	2	917
513511	Westgate	7	1018
513512	Royal Road West	7	1008
513521	West Harbour	8	1037
513522	Lucken Point	2	918
513530	Royal Heights	8	1024
513610	Massey West	5	969
513620	Birdwood	6	984
513631	Waimumu North	8	1044
513632	Waimumu South	7	1023
513701	Taupaki	3	929
513702	Waitakere	2	927
513800	Karekare	3	939
514000	Freemans Bay	5	968
514101	Auckland Harbourside	6	986
514102	Auckland Central West	10	1124
514103	Auckland Central East	10	1155
514200	Newton	6	992
514301	Grafton West	9	1101
514302	Grafton East	9	1061
514401	Roberton	8	1028
514402	Glenavon	8	1049
514500	New Windsor	6	993
514600	Avondale South	6	983
514700	Blockhouse Bay	4	954
514801	Rosebank	9	1073
514802	Avondale West	9	1078
514900	Waterview	9	1082
515001	Point Chevalier West	5	961
515002	Point Chevalier East	5	968
515003	Point Chevalier South	8	1053
515100	Westmere	2	926
515201	Herne Bay	1	909
515202	St Marys	2	927
515301	Ponsonby West	4	944
515302	Ponsonby East	3	939
515410	Grey Lynn West	4	952
515420	Grey Lynn East	3	941
515431	Surrey Crescent	7	1022
515432	St Lukes North	3	941
515500	Arch Hill	5	963
515600	Eden Terrace	6	996
515700	Epsom North	5	959
515801	Epsom Central	4	948
515802	Epsom South	2	924
515901	Parnell East	1	913
515902	Parnell West	4	946
516001	Mt Hobson	4	957
516002	Remuera South	3	937
516003	Abbotts Park	2	919
516101	Remuera West	2	918
516102	Waitaramoa	1	898
516201	Orakei South	1	892
516202	Waiata	1	891
516301	Meadowbank North	3	930
516302	Meadowbank South	1	913
516400	Orakei North	6	996
516500	Mission Bay	2	919
516601	Kohimarama West	1	901
516602	Kohimarama East	1	896
516700	St Heliers	1	898
516800	Glendowie	1	890
516900	Glen Innes North	2	921
517001	Glen Innes West	10	1169
517002	Glen Innes East	10	1194
517100	Point England	10	1247
517200	St Johns	7	1007
517400	Newmarket	6	984
517500	Kingsland	6	977
517600	St Lukes	6	983
517701	Sandringham North	5	971
517702	Sandringham West	7	1016
517703	Sandringham East	7	1013
517800	Mt Albert Central	5	973
517901	Springleigh	7	1003
517902	Owairaka West	9	1102
517903	Owairaka East	6	994
518101	Mt Eden North	6	985
518102	Sherbourne	6	977
518201	Balmoral	4	950
518202	Mt Eden East	3	943
518301	Maungawhau	3	936
518302	Mt Eden South	3	944
518500	Three Kings	8	1047
518600	Royal Oak	2	924
518701	Hillsborough West	6	977
518702	Hillsborough East	3	939
518801	Walmsley	10	1161
518802	Wesley	10	1127
518803	Akarana	10	1116
518901	Lynfield North	6	977
518902	Lynfield South	4	952
519001	Waikowhai West	3	938
519002	Waikowhai East	8	1050
519200	Mt St John	5	967
519300	One Tree Hill Central	3	934
519400	One Tree Hill East	4	952
519500	Penrose	7	1011
519710	Onehunga North West	7	1013
519720	Onehunga North East	4	957
519810	Onehunga South West	4	948
519820	Onehunga South East	8	1045
519900	Oranga	9	1098
520000	Te Papapa	8	1033
520201	Ellerslie North	3	938
520202	Ellerslie South	5	963
520300	Mt Wellington North	8	1031
520401	Ferndale	7	1015
520402	Hamlin	8	1027
520500	Mt Wellington South	9	1095
520601	Tamaki	10	1192
520602	Panmure Basin	6	996
520801	Waiheke Island	7	1018
520803	Bays-Waiheke Island		
520804	Tidal-Waiheke Island		
520900	Islands-Motutapu, Rangitoto, Rakino		
521000	Great Barrier Island	10	1134
521111	Paerata-Cape Hill	3	942
521112	Eden Road-Hill Top	4	945
521113	Buckland	2	924
521114	Redoubt	4	951
521115	Opuawhanga	4	950
521121	Patumahoe	2	926
521122	Kingseat	2	920
521131	Pokeno	3	936
521132	Hunua	1	907
521133	Mangatawhiri	5	972
521151	Awhitu	4	954
521152	Glenbrook	2	924
521153	Otaua	2	919
521160	Bombay	3	938
521201	Hingaia	1	902
521202	Whangapouri Creek	1	901
521203	Bremner	1	899
521301	Drury	3	929
521302	Runciman	2	924
521501	Mellons Bay	1	904
521502	Cockle Bay	1	898
521601	Howick West	3	941
521602	Howick Central	4	951
521801	Otahuhu North	10	1166
521802	Fairburn	10	1164
521803	Otahuhu East	9	1098
521901	Otahuhu West	10	1171
521902	Middlemore	6	991
522100	Papatoetoe West	9	1085
522201	Papatoetoe North	9	1061
522202	Papatoetoe Central	8	1043
522301	Dingwall	8	1025
522302	Papatoetoe East	9	1075
522400	Puhinui	8	1031
522601	Bucklands and Eastern Beaches	2	923
522603	Bleakhouse	1	896
522604	Bucklands Beach South	3	933
522605	Half Moon Bay Marina		
522711	Pigeon Mountain North	5	972
522712	Murvale	4	953
522721	Pigeon Mountain South	5	961
522722	Aberfeldy	5	969
522723	Elsmore Park	5	964
522730	Half Moon Bay	2	924
522810	Pakuranga North	2	927
522820	Sunnyhills	2	922
522910	Pakuranga Central	5	958
522920	Edgewater	7	1004
523000	Pakuranga East	5	971
523101	Botany Downs	2	918
523102	Maungamaungaroa	2	928
523105	Golfland	1	912
523106	Millhouse	2	915
523107	Burswood	5	960
523108	East Tamaki	5	961
523109	Dannemora	3	942
523110	Kilkenny	1	904
523111	Point View	2	921
523201	Shelly Park	1	888
523202	Turanga	1	891
523300	Beachlands-Maraetai	2	922
523401	Grange	10	1163
523402	Otara West	10	1236
523501	Otara North	10	1202
523502	Otara East	10	1215
523601	Otara South	10	1213
523602	Ferguson	10	1250
523711	Flat Bush	10	1190
523712	Donegal Park	7	1023
523713	Ormiston	3	942
523721	Clover Park	10	1133
523722	Redoubt North	8	1039
523813	Ardmore	2	920
523814	Totara Heights	2	927
523815	Wairere	1	894
523816	Randwick Park	9	1086
523817	Hyperion	10	1160
523820	Redoubt South	4	953
523911	Takanini North	10	1145
523912	Takanini South	8	1045
523920	Takanini West	6	991
524001	Ambury	5	975
524002	Mangere Bridge	8	1032
524111	Mangere Central	10	1171
524112	Mascot	10	1138
524121	Arahanga	10	1187
524122	Viscount	10	1180
524200	Mangere South	9	1086
524301	Mangere East	9	1072
524302	Aorere	10	1118
524303	Kohuora	9	1066
524402	Mangere Station	10	1306
524403	Favona West	10	1178
524404	Favona North	10	1134
524405	Favona South	9	1088
524510	Harania North	10	1176
524520	Harania West	10	1155
524530	Harania East	10	1181
524601	Manukau Central	9	1086
524602	Wiri	10	1223
524711	Burbank	10	1150
524712	Homai West	10	1170
524713	Rowandale	10	1174
524720	Homai East	10	1116
524811	Weymouth West	9	1082
524812	Weymouth East	9	1103
524821	Clendon North	10	1188
524822	Clendon South	10	1176
524901	Hillpark	5	969
524902	Manurewa East	10	1121
525001	Manurewa Central	9	1079
525002	Beaumont	10	1129
525101	Leabank	9	1100
525102	Wattle Farm	6	991
525201	Clevedon	1	910
525202	Kawakawa-Orere	6	984
525410	Papakura Central	9	1084
525420	Papakura North	8	1033
525510	Papakura South	10	1209
525520	Opaheke	5	964
525530	Rosehill	9	1087
525540	Pahurehure	2	927
525610	Papakura East	10	1155
525620	Massey Park	9	1068
525630	Papakura North East	8	1048
525700	Red Hill	10	1122
525910	Pukekohe North	9	1067
525921	Pukekohe West	6	983
525922	Bledisloe Park	5	964
526101	Waiuku	6	996
526102	South Waiuku	2	922
526200	Tuakau	9	1065
526400	Rotowaro		
526500	Raglan	9	1088
526601	Waikato Western Hills	5	975
526602	Te Uku	5	968
526603	Te Pahu	2	925
526701	Onewhero	5	965
526702	Te Akau	5	967
526900	Te Kauwhata	7	1005
527004	Matangi	1	904
527005	Sylvester	1	864
527006	Flagstaff	1	910
527007	Horsham Downs	2	922
527008	Rototuna	1	903
527009	Huntington	1	900
527111	Whitikahu	3	944
527112	Taupiri Community	10	1114
527121	Eureka	1	913
527122	Gordonton	3	933
527123	Kainui	4	951
527131	Tamahere-Tauwhare	2	916
527132	Hautapu	2	916
527210	Waerenga	5	959
527221	Maramarua	5	958
527222	Meremere	10	1240
527401	Huntly West	10	1243
527402	Huntly East	9	1082
527501	Cambridge North	4	947
527502	Cambridge West	5	972
527503	Cambridge Central	7	1012
527504	Leamington West	6	978
527505	Leamington East	5	969
527600	Ohaupo	4	955
527700	Kihikihi	8	1046
527810	Peacocke	3	931
527820	Temple View	6	990
527911	Horotiu	6	989
527912	Te Kowhai	2	926
527913	Whatawhata	2	914
527914	Ngahinapouri	1	908
527915	Lake Cameron	2	914
527921	Te Rore	1	889
527922	Pirongia	2	916
527923	Pokuru	4	949
527924	Lake Ngaroto	2	923
527925	Tokanui	9	1084
527931	Pukerimu	3	930
527932	Kaipaki	3	931
527934	Rotoorangi	3	929
527935	Te Rahu	2	916
527936	Kihikihi Flat	2	921
527937	Allen Road	3	932
528000	Rotongata	4	948
528200	Ngaruawahia	10	1129
528310	Bryant	6	989
528320	Pukete	3	931
528402	Pukete West	5	975
528403	Te Rapa	8	1029
528405	Burbush	3	941
528406	Rotokauri	4	945
528501	Nawton	7	1017
528503	Crawshaw	10	1139
528504	Grandview	8	1040
528505	Brymer	3	939
528601	Dinsdale North	4	953
528602	Dinsdale South	7	1022
528700	Beerescourt	5	969
528800	Maeroa	8	1042
528900	Frankton Junction	8	1041
529000	Swarbrick	9	1092
529100	Hamilton Lake	6	995
529200	Melville	8	1038
529300	Glenview	5	971
529401	Queenwood	5	964
529402	Chedworth	5	974
529501	Porritt	9	1090
529502	Insoll	10	1211
529503	Fairview Downs	7	1004
529600	Chartwell	3	931
529700	Hamilton Central	10	1113
529800	Clarkin	9	1098
529900	Claudelands	8	1034
530000	Enderley	10	1113
530100	Peachgrove	8	1053
530200	Hamilton East	9	1075
530300	Naylor	7	1014
530400	Bader	9	1090
530500	University	8	1053
530600	Silverdale	8	1030
530700	Hillcrest West	7	998
530800	Riverlea	3	937
531001	Te Awamutu West	7	1015
531002	Te Awamutu Central	7	1004
531003	Te Awamutu East	7	1015
531004	Te Awamutu South	8	1029
531100	Kawhia Community	10	1139
531200	Otorohanga	9	1057
531301	Otorohanga Rural West	6	986
531303	Te Kawa	4	950
531304	Otorohanga Rural East	5	971
531500	Piopio	8	1043
531600	Taharoa	10	1139
531710	Mahoenui	6	988
531720	Marokopa	5	971
531731	Waipa Valley	5	965
531732	Tiroa	9	1087
531800	Mokauiti	8	1028
532000	Te Kuiti	10	1110
532200	Omori	6	986
532300	Owhango	6	984
532400	Ohura	10	1151
532501	Ngapuke	7	1005
532502	Kuratau	6	986
532601	Raurimu	5	970
532602	National Park	8	1026
532700	Otangiwai-Heao	7	1008
532901	Tarrangower	10	1128
532902	Taumarunui Central	10	1141
532903	Sunshine-Hospital Hill	10	1125
532904	Manunui	9	1077
533000	Whitianga	7	1004
533100	Coromandel	7	1021
533200	Te Rerenga	7	1012
533300	Whangamata	7	1019
533400	Tairua	6	983
533501	Moanataiari	8	1036
533502	Parawai	7	1021
533602	Pauanui Beach	4	952
533603	Hikuai	6	991
533604	Te Puru-Thornton Bay	6	997
533800	Ngatea	6	988
533901	Hauraki Plains	5	972
533902	Turua	4	953
533903	Kerepehi	9	1077
534100	Waihi Beach	7	1007
534200	Ohinemuri	6	995
534300	Paeroa	9	1082
534400	Waihi	10	1111
534500	Tahuroa	4	953
534602	Waitoa	7	1010
534603	Springdale	5	958
534604	Waihou-Walton	5	966
534800	Te Aroha	8	1029
534901	Morrinsville West	8	1052
534902	Morrinsville East	5	967
535000	Waharoa	10	1299
535100	Tirau	8	1039
535211	Mangakaretu	7	1017
535212	Kinleith	6	977
535220	Okauia	4	946
535231	Te Poi	4	957
535232	Tapapa	4	949
535241	Karapiro	1	904
535242	Hinuera	2	927
535250	Arapuni	4	950
535261	Lichfield	4	945
535262	Wawa	4	945
535310	Paraonui	6	997
535320	Parkdale	8	1045
535330	Matarawa	9	1107
535340	Stanley Park	10	1194
535350	Tokoroa Central	10	1201
535360	Aotea	9	1074
535370	Strathmore	10	1136
535380	Amisfield	2	914
535501	Matamata North	7	1003
535502	Matamata South	7	998
535600	Putaruru	9	1081
535700	Athenree	6	977
535800	Katikati Community	8	1025
535900	Maketu Community	9	1090
536000	Omokoroa	3	943
536201	Papamoa Beach East	7	1009
536202	Palm Springs	6	982
536203	Doncaster	8	1036
536400	Island View-Pios Beach	7	1011
536503	Te Puna	3	941
536505	Matapihi	9	1096
536506	Inlet-Tauranga Harbour Omokoroa	1	911
536508	Inlet-Tauranga Harbour	7	1021
536509	Waikareao Estuary		
536510	Motuopae Island		
536512	Kairua	9	1075
536513	Bethlehem East	1	899
536514	Bethlehem	2	925
536515	Pacific View	4	948
536516	Palm Beach	6	991
536517	Gravatt	3	943
536611	Matakana Island	10	1125
536613	Inlet-Tauranga Harbour North	4	945
536614	Tahawai	4	956
536615	Aongatete	4	951
536620	Minden	3	930
536630	Kaimai	3	931
536641	Ohauiti-Ngapeke	4	945
536642	Upper Papamoa	3	941
536651	Paengaroa	8	1040
536653	Rangiuru	6	990
536654	Pongakawa	6	994
536810	Mt Maunganui North	6	977
536821	Omanu	6	976
536822	Tauranga City-Marinas	6	984
536831	Arataki	8	1052
536832	Te Maunga	7	1022
537000	Matua	3	938
537100	Bellevue	7	1005
537201	Otumoetai North	5	962
537202	Otumoetai South	3	933
537301	Brookfield	7	1012
537302	Te Reti	6	989
537400	Judea	7	1023
537500	Gate Pa	9	1067
537601	Greerton	8	1054
537602	Pyes Pa	3	933
537700	Yatton Park	10	1165
537800	Poike	9	1062
537900	Hairini	5	971
538000	Maungatapu	6	987
538101	Tauranga Hospital	10	1134
538102	Tauranga South	8	1040
538201	Tauranga Central	6	985
538202	Sulphur Point	8	1043
538301	Kaitemako	4	952
538302	Welcome Bay West	7	1016
538303	Welcome Bay East	6	981
538501	Te Puke West	9	1054
538502	Te Puke East	8	1031
538601	Ngongotaha North	9	1055
538602	Ngongotaha South	7	1016
538721	Poets Corner	6	980
538722	Ngapuna	10	1110
538731	Owhata South	6	986
538732	Lynmore	1	899
538741	Owhata West	9	1072
538742	Owhata East	8	1031
538811	Hamurana	2	922
538812	Inland Water-Lake Rotorua		
538820	Tikitere	6	985
538831	Kaingaroa Forest	10	1197
538832	Tarawera	2	924
538841	Golden Springs	3	938
538842	Reporoa	7	1002
538850	Ngakuru	3	929
538861	Arahiwi	3	929
538863	Waiwhero	5	964
538864	Mamaku	8	1054
539000	Selwyn Heights	10	1117
539100	Western Heights	10	1146
539200	Fairy Springs	9	1065
539310	Pukehangi North	10	1131
539320	Pukehangi South	6	983
539400	Mangakakahi	9	1093
539500	Sunnybrook	6	977
539600	Fordlands	10	1319
539700	Utuhina	8	1032
539800	Pomare	4	948
539900	Hillcrest	8	1038
540000	Springfield	2	924
540100	Kawaha Point	6	978
540200	Koutu	10	1130
540300	Ohinemutu	9	1079
540410	Kuirau	10	1124
540420	Victoria	10	1142
540510	Glenholme East	6	976
540520	Glenholme West	10	1149
540600	Fenton	9	1099
540700	Whaka	10	1119
540900	Mangakino	10	1262
541000	Turangi	9	1087
541311	Acacia Bay	2	917
541312	Wairakei-Aratiatia	9	1084
541313	Maunganamu	6	985
541315	Taupo East	9	1065
541316	Wharewaka	4	949
541317	Rangatira Park	2	927
541318	Rangatira	5	975
541319	Lakewood	2	923
541320	Marotiri	5	970
541332	Oruanui	3	933
541333	Kinloch	2	923
541342	Rangitaiki	10	1136
541343	Iwitahi	7	1015
541501	Rangipo	10	1119
541502	Te More		
541503	Taharua	8	1030
541710	Nukuhau	6	990
541720	Taupo Central	8	1042
541730	Tauhara	8	1045
541740	Hilltop	4	955
541750	Waipahihi	2	914
541760	Richmond Heights	5	969
541900	Ohope	4	948
542000	Matata	9	1082
542100	Taneatua	10	1242
542200	Edgecumbe	9	1064
542300	Te Teko	10	1160
542410	Whakatane North	9	1061
542421	Coastlands	1	913
542422	Whakatane West	9	1101
542430	Trident	10	1116
542440	Allandale-Mokorua	7	999
542511	Orini	10	1153
542513	Inlet-Ohiwa Harbour West		
542514	Maraetotara	6	986
542520	Poroporo	9	1056
542530	Otakiri	4	950
542540	Rotoma	9	1065
542550	Matahina-Minginui	10	1126
542561	Waimana	10	1169
542562	Urewera	10	1131
542600	Kawerau	10	1151
542700	Murupara	10	1263
542800	Opotiki	10	1182
542901	Te Kaha	10	1286
542903	Cape Runaway	10	1241
542904	Oponae	10	1146
542905	Inlet-Ohiwa Harbour East		
542906	Waiotahi	8	1037
543301	East Cape	10	1184
543302	Ruatoria	10	1261
543303	Tokomaru Bay	10	1203
543601	Tarndale-Rakauroa	8	1029
543602	Te Karaka	10	1145
543800	Patutahi	8	1046
543901	Makaraka	4	957
543902	Matokitoki	2	916
543903	Wainui	2	925
544001	Wharekaka	6	983
544002	Tiniroto	5	970
544003	Manutuke	7	1007
544004	Tolaga Bay	10	1135
544200	Mangapapa	9	1069
544300	Te Hapara	9	1077
544400	Gisborne Airport	10	1190
544500	Whataupoko	4	954
544600	Gisborne Central	9	1084
544701	Kaiti North	5	961
544702	Outer Kaiti	10	1253
544801	Kaiti South	10	1185
544802	Tamarau	10	1166
544900	Riverdale	5	970
545201	Tuai	10	1191
545202	Frasertown	7	1018
545204	Ruakituri-Morere	6	983
545205	Maungataniwha	8	1039
545206	Inland Water-Lake Waikaremoana		
545301	Raupunga	9	1087
545302	Whakaki	8	1046
545303	Nuhaka	9	1073
545304	Mahia	10	1118
545500	Wairoa	10	1144
545611	Bay View	5	958
545621	Poraiti	1	903
545631	Meeanee	3	939
545632	Awatoto	7	998
545710	Twyford	4	950
545721	Karamu	5	973
545722	Whakatu	8	1026
545730	Clive	5	960
545740	Haumoana	5	965
545750	Brookvale	2	919
545761	Irongate	4	948
545762	Longlands South	2	921
545811	Tangoio	2	928
545812	Eskdale	4	948
545821	Sherenden-Puketapu	2	919
545822	Omahu	8	1044
545831	Waiohiki	2	925
545832	Pakowhai	6	997
545841	Maraekakaho	3	929
545842	Bridge Pa	6	986
545851	Poukawa	4	955
545852	Pakipaki	5	961
545860	Waimarama	4	956
545911	Tutira	6	980
545912	Puketitiri	3	937
545913	Whanawhana	2	914
546100	Westshore	5	966
546200	Ahuriri	7	1010
546300	Onekawa Central	6	993
546400	Onekawa West	7	1013
546500	Onekawa South	10	1127
546600	Marewa	9	1100
546700	Maraenui	10	1252
546801	Hospital Hill	4	957
546802	Bluff Hill	5	959
546901	Nelson Park	8	1028
546902	Mclean Park	8	1040
547001	Tamatea North	8	1029
547002	Tamatea South	7	1005
547100	Greenmeadows	4	946
547200	Taradale North	3	935
547300	Taradale South	4	957
547400	Pirimai	7	1007
547600	Mahora	8	1053
547700	St Leonards	8	1039
547800	Frimley	5	968
547900	Raureka	9	1060
548000	Mayfair	8	1053
548100	Parkvale	6	989
548200	Hastings Central	9	1062
548300	Akina	9	1057
548400	Woolwich	6	990
548500	Camberley	10	1244
548611	Kingsley-Chatham	10	1204
548612	Lochain	10	1143
548620	Flaxmere East	10	1141
548810	Anderson Park	9	1068
548821	Iona	2	924
548822	Havelock Hills	1	893
548831	Te Mata	2	922
548832	Havelock North Central	1	907
548833	Te Mata Hills	1	883
549000	Takapau	8	1046
549100	Waipawa	8	1037
549200	Tikokino	4	949
549400	Otane	8	1054
549500	Waipukurau	8	1030
549601	Porangahau	9	1080
549602	Elsthorpe-Flemington	3	933
549800	Norsewood-Herbertville	3	943
549901	Owahanga	5	969
549902	Mara	6	989
550101	Dannevirke West	7	1002
550102	Dannevirke East	9	1090
550200	Papatawa	4	946
550500	Woodville	9	1062
550600	Urenui	7	1020
550700	Okoki-Okau	5	972
550800	Oakura	3	935
550901	Bell Block	6	992
550902	Paraite	5	972
551012	Glen Avon	5	957
551013	Bowden	3	932
551014	Mangaoraka	3	934
551021	Carrington	1	897
551022	Highlands Park	1	904
551023	Fernleigh	1	900
551024	Barrett	1	902
551030	Omata	2	916
551111	Lepperton	2	922
551112	Kaitake	2	920
551120	Okato	6	993
551301	Waitara West	10	1130
551302	Waitara East	9	1084
551400	Moturoa	8	1049
551501	Lynmouth	7	1007
551502	Spotswood	7	1002
551503	Marfell	10	1140
551600	Upper Westown	3	938
551700	Westown	8	1024
551800	New Plymouth Central	7	1014
551900	Kawaroa	7	1017
552001	Mount Bryan	6	983
552002	Marsland Hill	7	998
552100	Fitzroy	6	979
552200	Welbourn	6	981
552300	Merrilands	6	983
552400	Frankleigh	7	1007
552500	Struan Park	6	983
552701	Egmont Village	2	925
552702	Kaimata	3	934
552800	Inglewood	7	1001
552900	Midhirst	7	1022
553001	Whangamomona	9	1079
553002	Douglas	3	940
553003	Toko	3	928
553004	Pembroke	3	934
553101	Stratford West	8	1041
553102	Stratford East	7	1014
553200	Opunake	9	1083
553301	Rahotu	8	1028
553302	Kahui	6	978
553400	Kaponga	10	1115
553500	Mangatoki-Moeroa	4	947
553601	Eltham	8	1029
553700	Kapuni	5	958
553800	Manaia	9	1095
553900	Normanby	7	1012
554010	Hawera North	7	1009
554020	Hawera South	8	1035
554111	Ohawe Beach	6	987
554113	Tawhiti	3	940
554114	Waingongoro	4	955
554115	Hawera West	1	903
554120	Ohangai	6	982
554130	Okaiawa	7	1005
554300	Waitotara	10	1109
554400	Whenuakura	5	975
554500	Makakaho	5	969
554700	Patea	10	1200
554800	Waverley	10	1147
554900	Tangiwai	6	983
555000	Ohakune	8	1034
555100	Raetihi	9	1109
555200	Otamatea	2	916
555300	Blueskin	2	920
555400	Maxwell	4	945
555700	Castlecliff North	10	1130
555800	Castlecliff South	10	1149
555900	Mosston	10	1198
556000	Balgownie	10	1303
